<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
CC_VNINDEX,20240103,0,13104707515210,1532640484790,0,0,0
CC_HNX-INDEX,20240103,48147,1060519731400,77225390000,40631,110577400,116179000
CC_VNINDEX,20240102,0,15859891158480,1235335841520,0,0,0
CC_HNX-INDEX,20240102,48189,1158736745400,79775826000,40941,96500400,128724700
CC_VNINDEX,20231229,0,13187175996210,2399367003790,0,0,0
CC_HNX-INDEX,20231229,48973,1264109459800,33133158800,47661,111933500,139451100
CC_VNINDEX,20231228,0,13076662412550,2143862587450,0,0,0
CC_HNX-INDEX,20231228,47742,1035098656900,52381045000,42670,103647100,121375100
CC_VNINDEX,20231227,0,12204335984740,6423486015260,0,0,0
CC_HNX-INDEX,20231227,47115,1170386195300,52357300000,50435,109592700,143908700
CC_VNINDEX,20231226,315471,13037417191040,1306278808960,361260,1033335000,1224079300
CC_HNX-INDEX,20231226,43248,1119236228200,87967900000,47310,99087400,130835800
CC_VNINDEX,20231225,20846,12041982371300,3068383628700,25011,53065500,73208100
CC_HNX-INDEX,20231225,40744,1053914594600,243217710000,44483,90626300,114684700
CC_VNINDEX,20231222,22946,10629499697350,1617353302650,26754,74278100,97789100
CC_HNX-INDEX,20231222,47664,1548969504100,134116300000,47679,122607200,151344700
CC_VNINDEX,20231221,19134,9698977413800,1464125586200,21573,49467900,61489600
CC_HNX-INDEX,20231221,44816,825886644100,143836056800,34923,89271900,101406300
CC_VNINDEX,20231220,19010,9584170056010,3662166943990,22334,51488800,65396500
CC_HNX-INDEX,20231220,41638,885866823700,178821881000,41551,89433700,112629800
CC_VNINDEX,20231219,21635,10903689043150,1820661956850,20387,55888900,62598100
CC_HNX-INDEX,20231219,50415,1361451462600,346182080000,40001,122652000,130157300
CC_VNINDEX,20231218,22449,10491525207830,0,20789,57080400,66598500
CC_HNX-INDEX,20231218,48942,1023886821400,241464300000,36937,100858500,113518000
CC_VNINDEX,20231215,26966,14166708285200,1709065714800,23793,80786300,98491100
CC_HNX-INDEX,20231215,58433,1538818042000,104834150000,46243,138848200,138729800
CC_VNINDEX,20231214,23956,12149635149710,2502358850290,24063,66942500,82355600
CC_HNX-INDEX,20231214,59976,1598220416800,133390710400,48084,133316400,146402300
CC_VNINDEX,20231213,28811,16185986136540,2186608863460,28322,89960900,96280800
CC_HNX-INDEX,20231213,71741,2046685418000,253721075200,56534,142454400,176617800
CC_VNINDEX,20231212,23999,11251268271440,2716562728560,25128,66183600,74410500
CC_HNX-INDEX,20231212,55005,1408518521100,128664788000,55345,121594000,154281100
CC_VNINDEX,20231211,26246,12541057286850,1950986713150,24623,64279700,75860900
CC_HNX-INDEX,20231211,56932,1518936512800,34744752400,53589,123407600,136373400
CC_VNINDEX,20231208,33385,15707442003000,1968035997000,30748,102645000,131339300
