<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
NN_VNINDEX,20240103,28319000,657568096,58637762,44654965,781442922550,988564498950
NN_HNX-INDEX,20240103,667170,58217233,3432000,1098590,28294838000,36118271000
NN_VNINDEX,20240102,26656195,778092693,64012774,50156622,766221717020,1122931643140
NN_HNX-INDEX,20240102,316903,59650589,2029860,1536554,10896713400,40149575400
NN_VNINDEX,20231229,42262739,621075896,81708666,28489678,1183650355260,852088190830
NN_HNX-INDEX,20231229,3537130,69089845,2601833,1873300,67756917000,37827120000
NN_VNINDEX,20231228,44954693,614925999,84624950,34640961,1201036589150,759825969750
NN_HNX-INDEX,20231228,422520,56216257,2803600,289116,16486164000,5267963900
NN_VNINDEX,20231227,34734277,570737700,178938561,32498263,860016827200,745994827420
NN_HNX-INDEX,20231227,618004,62930971,4109700,602879,14669105400,19089207800
NN_VNINDEX,20231226,22330400,575288899,55982754,33032600,754057359000,1034856105000
NN_HNX-INDEX,20231226,613870,54874010,6744000,2051004,16773608000,43528081000
NN_VNINDEX,20231225,19408200,551279599,105707835,20442500,610229292000,636693003000
NN_HNX-INDEX,20231225,377300,54278851,7447700,445232,9984640000,8560197100
NN_VNINDEX,20231222,20274700,496344599,61286748,40081800,688449616000,1173763554000
NN_HNX-INDEX,20231222,655700,80365699,5448900,524026,19516720000,11129369500
NN_VNINDEX,20231221,21616300,451416808,66091208,37449800,708699363000,1159089441000
NN_HNX-INDEX,20231221,579900,46252691,7136384,1019874,20372780000,26870568400
NN_VNINDEX,20231220,21753000,470477400,126698009,34496800,753375801000,1015019219000
NN_HNX-INDEX,20231220,738301,46044889,7907233,1102992,31521564800,31026516500
NN_VNINDEX,20231219,18887900,562157577,84199192,35330100,615258138000,1075995460000
NN_HNX-INDEX,20231219,496600,78808318,15896710,681128,20126560000,18748192600
NN_VNINDEX,20231218,17930300,544995667,0,37004000,554106749000,1072695957000
NN_HNX-INDEX,20231218,882000,62543732,15269000,762745,32507530000,16918355500
NN_VNINDEX,20231215,64885600,684449897,64980400,102496400,1654056192000,2944125760000
NN_HNX-INDEX,20231215,6589457,76846653,3435600,7576649,172333987900,196276711800
NN_VNINDEX,20231214,17850500,603906899,76392045,31884100,563516799000,922985714000
NN_HNX-INDEX,20231214,1353600,81366002,6149694,1361953,66172060000,31033044600
NN_VNINDEX,20231213,10736600,763976999,77861826,37515700,396872640000,1204970466000
NN_HNX-INDEX,20231213,1970010,97576160,19479097,715622,85252106000,23694065100
NN_VNINDEX,20231212,24158800,540735135,104711241,28798300,722112165000,918772969000
NN_HNX-INDEX,20231212,1859754,74617195,6104760,419933,49247325900,8015833500
NN_VNINDEX,20231211,18981100,618307398,75370371,29256700,611491920000,873522146000
NN_HNX-INDEX,20231211,2232037,76707019,2176731,651959,59333451200,20000279100
NN_VNINDEX,20231208,25030200,737605026,79308913,35755300,784049715000,1167736286000
NN_HNX-INDEX,20231208,818744,90568306,15905286,233129,21782752800,4952758400
NN_VNINDEX,20231207,33909200,1298442633,35873918,59511500,994396437000,1718603675000
NN_HNX-INDEX,20231207,1053600,185717146,2125850,880896,33072060000,20574438800
NN_VNINDEX,20231206,35725700,777008797,75978409,49591700,1003649903000,1459641848000
NN_HNX-INDEX,20231206,930700,101785936,8009400,1829770,39999090000,47260481800
NN_VNINDEX,20231205,11321500,753445896,70533682,55585600,324172056000,1629604995000
NN_HNX-INDEX,20231205,361504,91868931,2428500,2611747,8201448400,58052164400
NN_VNINDEX,20231204,27414700,1038038191,79448144,43126300,740001556000,1178033070000
NN_HNX-INDEX,20231204,312810,136584775,8759900,1997149,5702400000,49580446000
NN_VNINDEX,20231201,14403000,569333260,26789250,20823000,438860398000,604391511000
NN_HNX-INDEX,20231201,191448,0,0,525250,2638612000,13534583200
NN_VNINDEX,20231130,32875300,659979598,57959180,39159300,979450387000,1258175985000
NN_HNX-INDEX,20231130,1808400,97902132,1443460,5416008,43157940000,133587818600
NN_VNINDEX,20231129,23790600,562813100,46439040,25184200,745990716000,746541686000
NN_HNX-INDEX,20231129,4165451,76692427,7090010,537267,91891585200,14526585500
NN_VNINDEX,20231128,25984600,593255200,84657110,24597300,743755428000,760398860000
NN_HNX-INDEX,20231128,748748,77889793,3269000,566847,16337287800,11570911600
NN_VNINDEX,20231127,19337400,507177396,83129877,17621600,554059600000,488839991000
NN_HNX-INDEX,20231127,510705,55340300,3801400,443177,17711083400,10387353900
NN_VNINDEX,20231124,35974200,900881627,55788823,20979900,1066050834000,642339406000
NN_HNX-INDEX,20231124,196211,122446777,1308100,60541,3487205800,1122797700
NN_VNINDEX,20231123,24445600,952327292,73680496,34721300,633878655000,961082261000
NN_HNX-INDEX,20231123,929300,129161144,4891700,537513,19701850000,13663072400
NN_VNINDEX,20231122,17021900,812591497,131585427,27925300,495732263000,840014865000
NN_HNX-INDEX,20231122,323285,97419196,7010343,614058,8914029500,15382291800
NN_VNINDEX,20231121,20661800,601628500,110633314,28326500,631937395000,850833266000
NN_HNX-INDEX,20231121,637271,91375979,7289100,681093,20986013500,14169096300
NN_VNINDEX,20231120,33649800,751153197,86196597,19206700,893434151000,571439407000
NN_HNX-INDEX,20231120,251555,93266032,8976293,581635,7887108500,9260931800
NN_VNINDEX,20231117,20190900,1178535597,75018084,43665200,611899817000,1256321977000
NN_HNX-INDEX,20231117,356730,147547228,16575610,1616980,13257213000,43396980500
NN_VNINDEX,20231116,0,606149798,78730352,0,0,0
NN_HNX-INDEX,20231116,912010,101617131,17386442,3919433,24488294800,94639183200
NN_HNX-INDEX,20231115,537300,108473463,8556900,762271,13110440000,18918820800
NN_VNINDEX,20231115,46384700,883431798,54197814,41843900,1515076833000,1325601386000
NN_HNX-INDEX,20231114,1043981,82159830,10221705,2552435,19798218200,47703854200
NN_VNINDEX,20231114,40535331,771510093,48725021,46509207,1015181506200,1346777321180
NN_HNX-INDEX,20231113,797030,92360912,2259800,468395,26706314000,10538028300
NN_VNINDEX,20231113,30983200,740255909,48147673,35137100,809325401000,941119289000
NN_HNX-INDEX,20231110,183800,124414971,2646968,633529,3640680000,17177744200
NN_VNINDEX,20231110,31682100,955002299,76524367,30453900,862626435000,947464014000
NN_HNX-INDEX,20231109,2061200,129997880,884300,2433919,58265980000,53461288000
NN_VNINDEX,20231109,41408600,1007657699,44089551,53787000,1134743035000,1723545816000
