Nov 11 22:59:29  DbcCleanup called, will cleanup now
Nov 11 23:02:14  DbcCleanup called, will cleanup now
Nov 11 23:05:11  DbcCleanup called, will cleanup now
Nov 11 23:09:57  DbcCleanup called, will cleanup now
Nov 11 23:12:10  DbcCleanup called, will cleanup now
Nov 12 12:54:32  DbcCleanup called, will cleanup now
Nov 12 17:13:29  DbcCleanup called, will cleanup now
Nov 12 21:34:02  DbcCleanup called, will cleanup now
Nov 13 20:14:16  DbcCleanup called, will cleanup now
Nov 14 20:49:05  DbcCleanup called, will cleanup now
Nov 16 20:48:03  DbcCleanup called, will cleanup now
Nov 19 00:01:01  DbcCleanup called, will cleanup now
Nov 19 20:19:24  DbcCleanup called, will cleanup now
Nov 20 23:36:37  DbcCleanup called, will cleanup now
Nov 21 23:13:12  DbcCleanup called, will cleanup now
Nov 22 20:57:22  DbcCleanup called, will cleanup now
Nov 23 20:36:58  DbcCleanup called, will cleanup now
Nov 28 21:10:31  DbcCleanup called, will cleanup now
Nov 28 21:26:28  DbcCleanup called, will cleanup now
Nov 29 20:43:53  DbcCleanup called, will cleanup now
Nov 29 23:54:53  DbcCleanup called, will cleanup now
Nov 29 23:58:09  DbcCleanup called, will cleanup now
Nov 30 00:00:15  DbcCleanup called, will cleanup now
Nov 30 00:37:43  DbcCleanup called, will cleanup now
Nov 30 21:57:39  DbcCleanup called, will cleanup now
Dec 03 23:29:34  DbcCleanup called, will cleanup now
Dec 05 20:33:08  DbcCleanup called, will cleanup now
Dec 07 21:07:46  DbcCleanup called, will cleanup now
Dec 09 16:10:11  DbcCleanup called, will cleanup now
Dec 12 20:28:01  DbcCleanup called, will cleanup now
Dec 14 20:49:14  DbcCleanup called, will cleanup now
Dec 18 21:38:36  DbcCleanup called, will cleanup now
Dec 19 21:47:00  DbcCleanup called, will cleanup now
Dec 26 22:50:33  DbcCleanup called, will cleanup now
Dec 28 21:22:04  DbcCleanup called, will cleanup now
Jan 01 20:54:12  DbcCleanup called, will cleanup now
Jan 02 20:41:05  DbcCleanup called, will cleanup now
Jan 03 21:53:24  DbcCleanup called, will cleanup now
Jan 04 00:18:02  DbcCleanup called, will cleanup now
